,System size,Number of targets
0,7.0,1.0
1,7.0,1.0
2,10.0,1.0
3,6.0,2.0
4,6.0,2.0
5,7.0,2.0
6,7.0,2.0
7,7.0,2.0
8,9.0,2.0
9,9.0,2.0
10,10.0,2.0
11,11.0,2.0
12,12.0,2.0
13,6.0,3.0
14,7.0,3.0
15,8.0,3.0
16,8.0,3.0
17,9.0,3.0
18,9.0,3.0
19,10.0,3.0
20,11.0,3.0
21,6.0,4.0
22,6.0,4.0
23,6.0,4.0
24,7.0,4.0
25,7.0,4.0
26,7.0,4.0
27,8.0,4.0
28,8.0,4.0
29,9.0,4.0
30,9.0,4.0
31,9.0,4.0
32,9.0,4.0
33,10.0,4.0
34,10.0,4.0
35,10.0,4.0
36,11.0,4.0
37,11.0,4.0
38,11.0,4.0
39,6.0,5.0
40,6.0,5.0
41,7.0,5.0
42,7.0,5.0
43,8.0,5.0
44,8.0,5.0
45,8.0,5.0
46,9.0,5.0
47,9.0,5.0
48,9.0,5.0
49,10.0,5.0
50,10.0,5.0
51,11.0,5.0
52,11.0,5.0
53,11.0,5.0
54,12.0,5.0
55,12.0,5.0
56,6.0,6.0
57,6.0,6.0
58,6.0,6.0
59,6.0,6.0
60,7.0,6.0
61,7.0,6.0
62,7.0,6.0
63,8.0,6.0
64,8.0,6.0
65,8.0,6.0
66,9.0,6.0
67,9.0,6.0
68,9.0,6.0
69,9.0,6.0
70,10.0,6.0
71,10.0,6.0
72,10.0,6.0
73,10.0,6.0
74,11.0,6.0
75,11.0,6.0
76,11.0,6.0
77,12.0,6.0
78,12.0,6.0
79,12.0,6.0
80,12.0,6.0
81,12.0,6.0
82,6.0,7.0
83,6.0,7.0
84,6.0,7.0
85,6.0,7.0
86,6.0,7.0
87,7.0,7.0
88,7.0,7.0
89,7.0,7.0
90,8.0,7.0
91,8.0,7.0
92,8.0,7.0
93,8.0,7.0
94,8.0,7.0
95,9.0,7.0
96,9.0,7.0
97,9.0,7.0
98,9.0,7.0
99,10.0,7.0
100,10.0,7.0
101,11.0,7.0
102,11.0,7.0
103,11.0,7.0
104,11.0,7.0
105,11.0,7.0
106,12.0,7.0
107,12.0,7.0
108,12.0,7.0
109,6.0,8.0
110,6.0,8.0
111,6.0,8.0
112,6.0,8.0
113,6.0,8.0
114,7.0,8.0
115,7.0,8.0
116,7.0,8.0
117,7.0,8.0
118,8.0,8.0
119,8.0,8.0
120,8.0,8.0
121,9.0,8.0
122,9.0,8.0
123,9.0,8.0
124,9.0,8.0
125,9.0,8.0
126,10.0,8.0
127,10.0,8.0
128,10.0,8.0
129,10.0,8.0
130,10.0,8.0
131,11.0,8.0
132,11.0,8.0
133,12.0,8.0
134,12.0,8.0
135,12.0,8.0
